Date,Open,High,Low,Close,Adj Close,Volume
2022-04-08,132.000000,133.119995,130.630005,131.869995,131.869995,6702000
2022-04-11,130.039993,132.429993,130.039993,130.649994,130.649994,9915300
2022-04-12,131.809998,133.210007,130.149994,130.839996,130.839996,7885600
2022-04-13,131.050003,132.889999,130.750000,132.350006,132.350006,7694500
2022-04-14,132.809998,133.589996,130.350006,130.470001,130.470001,7283500
2022-04-18,130.070007,130.220001,126.820000,127.769997,127.769997,10571000
2022-04-19,128.089996,133.190002,127.790001,131.899994,131.899994,12767200
2022-04-20,126.050003,127.349998,124.110001,124.570000,124.570000,36465700
2022-04-21,125.540001,126.449997,121.279999,121.660004,121.660004,18688600
2022-04-22,120.010002,121.889999,118.150002,118.269997,118.269997,19472800
2022-04-25,117.660004,120.330002,116.750000,119.949997,119.949997,16491000
2022-04-26,119.150002,119.150002,115.639999,115.769997,115.769997,16116000
2022-04-27,115.430000,116.900002,113.389999,115.209999,115.209999,15553000
2022-04-28,115.220001,116.000000,112.690002,115.290001,115.290001,23192100
2022-04-29,115.199997,115.989998,111.360001,111.629997,111.629997,16907000
2022-05-02,111.709999,113.660004,111.010002,113.500000,113.500000,14300700
2022-05-03,114.050003,114.830002,112.690002,113.550003,113.550003,11149500
2022-05-04,113.370003,116.440002,111.830002,116.190002,116.190002,11488300
2022-05-05,114.739998,115.269997,111.480003,112.610001,112.610001,12720200
2022-05-06,111.769997,112.089996,108.300003,110.290001,110.290001,12525200
2022-05-09,108.110001,110.739998,106.480003,106.980003,106.980003,17941600
2022-05-10,109.839996,110.699997,106.139999,107.680000,107.680000,15657700
2022-05-11,107.900002,110.070000,104.790001,105.209999,105.209999,26933300
2022-05-12,102.900002,105.000000,99.470001,104.309998,104.309998,36298800
2022-05-13,105.360001,107.690002,105.309998,107.330002,107.330002,16782600
2022-05-16,107.459999,107.620003,104.849998,105.180000,105.180000,11993600
2022-05-17,107.730003,108.790001,106.300003,108.639999,108.639999,11847600
2022-05-18,107.379997,107.660004,103.879997,104.300003,104.300003,11794000
2022-05-19,103.430000,105.300003,102.959999,103.139999,103.139999,11285000
2022-05-20,104.489998,104.800003,100.050003,102.419998,102.419998,15650400
2022-05-23,103.760002,106.029999,101.559998,105.830002,105.830002,14402400
2022-05-24,103.709999,103.839996,100.129997,101.589996,101.589996,13970200
2022-05-25,101.430000,103.809998,101.160004,103.260002,103.260002,11026600
2022-05-26,104.220001,106.129997,103.959999,105.610001,105.610001,11297800
2022-05-27,106.889999,109.370003,106.529999,109.320000,109.320000,13671300
2022-05-31,110.000000,111.239998,107.910004,110.440002,110.440002,20274600
2022-06-01,112.010002,112.849998,108.269997,109.190002,109.190002,11829700
2022-06-02,109.430000,110.949997,107.910004,110.870003,110.870003,8829900
2022-06-03,109.169998,109.849998,107.919998,108.669998,108.669998,6767600
2022-06-06,109.750000,110.190002,107.650002,107.830002,107.830002,7575900
2022-06-07,106.790001,107.919998,106.000000,107.790001,107.790001,7279100
2022-06-08,107.430000,109.360001,106.959999,107.339996,107.339996,7019500
2022-06-09,106.529999,107.059998,103.250000,103.300003,103.300003,8261200
2022-06-10,101.430000,102.120003,99.379997,99.400002,99.400002,15369700
2022-06-13,97.610001,97.610001,94.830002,95.709999,95.709999,15239700
2022-06-14,96.269997,96.269997,93.099998,94.220001,94.220001,12443700
2022-06-15,94.610001,97.300003,94.089996,95.879997,95.879997,11751600
2022-06-16,94.010002,95.379997,93.410004,94.279999,94.279999,15298500
2022-06-17,94.010002,95.970001,93.470001,94.339996,94.339996,15403800
2022-06-21,94.900002,95.449997,93.269997,93.290001,93.290001,16649800
2022-06-22,92.169998,94.610001,92.010002,93.500000,93.500000,11403500
2022-06-23,93.959999,94.650002,92.070000,94.300003,94.300003,11348800
2022-06-24,95.449997,98.570000,95.400002,97.779999,97.779999,11681200
2022-06-27,98.220001,98.230003,95.800003,96.610001,96.610001,10793700
2022-06-28,99.739998,100.400002,95.779999,95.919998,95.919998,16812400
2022-06-29,95.949997,96.199997,94.529999,95.650002,95.650002,8653200
2022-06-30,94.419998,95.440002,92.540001,94.400002,94.400002,10983500
2022-07-01,94.239998,96.309998,93.980003,96.139999,96.139999,10543400
2022-07-05,94.260002,97.230003,92.309998,97.180000,97.180000,10660600
2022-07-06,97.529999,98.190002,95.400002,96.080002,96.080002,8640200
2022-07-07,96.900002,97.529999,95.930000,97.430000,97.430000,7813100
2022-07-08,96.570000,97.120003,95.349998,95.860001,95.860001,7717300
2022-07-11,95.000000,95.339996,93.430000,93.639999,93.639999,7643700
2022-07-12,93.580002,95.250000,93.309998,93.599998,93.599998,8665300
2022-07-13,92.120003,93.250000,91.010002,92.940002,92.940002,12006400
2022-07-14,91.480003,92.040001,90.230003,91.839996,91.839996,11146400
2022-07-15,92.910004,95.320000,92.699997,95.199997,95.199997,14946700
2022-07-18,96.360001,97.269997,95.309998,95.699997,95.699997,10430400
2022-07-19,96.680000,99.849998,96.680000,99.610001,99.610001,13683400
2022-07-20,100.250000,104.260002,99.949997,103.349998,103.349998,15112700
2022-07-21,102.709999,104.250000,101.610001,104.180000,104.180000,8611300
2022-07-22,103.279999,104.570000,102.110001,102.720001,102.720001,7803500
