"Date","Open","High","Low","Close","Volume"
"2022-01-03",134.07000732421875,136.2949981689453,133.6300048828125,136.0399932861328,4610665
"2022-01-04",136.10000610351562,139.9499969482422,135.89999389648438,138.02000427246094,7300011
"2022-01-05",138.30999755859375,142.1999969482422,137.8800048828125,138.22000122070312,8956910
"2022-01-06",138.1999969482422,138.41000366210938,132.50999450683594,135.33999633789062,9908081
"2022-01-07",134.89999389648438,135.66200256347656,133.51100158691406,134.8300018310547,5238099
"2022-01-10",134.47000122070312,136.1999969482422,133.3800048828125,135.02999877929688,5432807
"2022-01-11",130.52000427246094,133.25,127.97000122070312,132.8699951171875,11105324
"2022-01-12",133.25,134.47000122070312,131.3699951171875,133.58999633789062,5352014
"2022-01-13",133.89999389648438,136.0500030517578,133.55999755859375,134.75999450683594,4868349
"2022-01-14",134.5500030517578,135.13999938964844,133.3000030517578,134.2100067138672,5310305
"2022-01-18",132.9499969482422,133.88999938964844,131.77999877929688,132.94000244140625,5247453
"2022-01-19",132.89999389648438,133.89999389648438,131.5,131.5800018310547,4103694
"2022-01-20",131.25999450683594,132.8800048828125,130.57000732421875,130.82000732421875,5278244
"2022-01-21",131.64999389648438,131.8699951171875,129.27000427246094,129.35000610351562,5906950
"2022-01-24",127.98999786376953,129.14999389648438,124.19300079345703,128.82000732421875,13777648
"2022-01-25",129.13999938964844,137.33599853515625,128.3000030517578,136.10000610351562,19715698
"2022-01-26",136.47000122070312,137.07000732421875,133.1300048828125,134.25999450683594,8335992
"2022-01-27",133.66000366210938,134.75,132.0800018310547,132.52000427246094,5499566
"2022-01-28",133.19000244140625,134.52999877929688,131.7899932861328,134.5,5471497
"2022-01-31",134.08999633789062,134.08999633789062,132.3000030517578,133.57000732421875,5859043
"2022-02-01",133.75999450683594,135.9600067138672,132.5,135.52999877929688,6206448
"2022-02-02",135.6999969482422,137.55499267578125,135.25999450683594,137.25,5357237
"2022-02-03",137.,138.75999450683594,135.83099365234375,137.77999877929688,6100777
"2022-02-04",137.86000061035156,138.82000732421875,136.21499633789062,137.14999389648438,4142045
"2022-02-07",137.4499969482422,137.82200622558594,136.27000427246094,137.24000549316406,3759046
"2022-02-08",137.22999572753906,137.52000427246094,135.77999877929688,137.02000427246094,4181825
"2022-02-09",137.83999633789062,138.35000610351562,136.8300018310547,137.7899932861328,5393478
"2022-02-10",135.47000122070312,136.55999755859375,133.1699981689453,133.52000427246094,5978640
"2022-02-11",133.89999389648438,134.7100067138672,132.3800048828125,132.69000244140625,4176155
"2022-02-14",132.58999633789062,132.64999389648438,129.07000732421875,130.14999389648438,5345289
