Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,98.599998,99.589996,92.919998,93.059998,93.059998,335856900
2022-04-18,92.029999,97.910004,87.940002,88.139999,88.139999,371862600
2022-04-25,89.860001,91.790001,84.019997,85.519997,85.519997,439876600
2022-05-02,85.660004,99.690002,85.320000,95.339996,95.339996,747496400
2022-05-09,92.870003,96.570000,83.269997,95.120003,95.120003,685179400
2022-05-16,93.860001,104.220001,88.260002,93.500000,93.500000,743529100
2022-05-23,91.660004,102.400002,89.519997,102.260002,102.260002,597026600
2022-05-30,102.430000,109.500000,99.550003,106.300003,106.300003,456252800
2022-06-06,108.269997,109.570000,94.250000,94.820000,94.820000,470826100
2022-06-13,91.260002,92.029999,79.430000,81.570000,81.570000,485635800
2022-06-20,84.169998,87.529999,80.230003,87.080002,87.080002,363583800
2022-06-27,87.360001,88.220001,72.690002,73.669998,73.669998,467525800
2022-07-04,71.980003,80.470001,71.599998,79.349998,79.349998,348094700
2022-07-11,77.849998,81.199997,74.430000,81.110001,81.110001,392922700
2022-07-18,82.209999,91.580002,80.940002,88.099998,88.099998,431299400
2022-07-25,86.570000,94.809998,84.709999,94.470001,94.470001,373204900
2022-08-01,95.589996,104.589996,93.620003,102.309998,102.309998,564069300
2022-08-08,100.059998,102.370003,93.669998,100.830002,100.830002,415329800
2022-08-15,100.510002,101.849998,94.589996,95.949997,95.949997,328564600
2022-08-22,94.400002,97.599998,90.900002,91.180000,91.180000,297853400
2022-08-29,90.050003,91.190002,78.519997,80.239998,80.239998,375000400
2022-09-05,80.410004,85.680000,77.739998,85.449997,85.449997,294615500
2022-09-12,84.889999,85.349998,74.680000,76.510002,76.510002,381444900
2022-09-19,75.389999,78.410004,66.820000,67.959999,67.959999,387292600
2022-09-26,67.870003,68.800003,62.830002,63.360001,63.360001,434376500
2022-10-03,64.459999,70.290001,58.220001,58.439999,58.439999,510241700
2022-10-10,57.310001,60.139999,54.570000,55.939999,55.939999,543679900
2022-10-17,57.349998,60.490002,55.709999,58.820000,58.820000,430665900
2022-10-24,58.570000,62.720001,56.660000,62.009998,62.009998,403638900
2022-10-31,60.750000,63.930000,58.029999,62.189999,62.189999,479821400
2022-11-07,62.930000,73.320000,59.799999,72.370003,72.370003,421306600
2022-11-14,75.220001,79.160004,70.160004,73.570000,73.570000,453351100
2022-11-21,72.209999,78.220001,71.570000,75.139999,75.139999,214629000
2022-11-28,73.809998,79.230003,72.570000,74.980003,74.980003,309909200
2022-12-05,74.540001,75.169998,68.519997,68.589996,68.589996,286959900
2022-12-12,68.540001,75.209999,64.800003,65.410004,65.410004,321699900
2022-12-19,65.120003,67.849998,62.259998,64.519997,64.519997,262686500
2022-12-26,63.869999,65.180000,61.959999,64.769997,64.769997,154168000
2023-01-02,66.000000,66.879997,60.049999,63.959999,63.959999,210649700
2023-01-09,66.220001,71.650002,65.669998,71.000000,71.000000,271184600
2023-01-16,70.870003,72.779999,67.269997,70.070000,70.070000,177107500
2023-01-23,72.220001,77.080002,71.540001,75.400002,75.400002,302750900
2023-01-30,74.230003,88.940002,72.029999,86.089996,86.089996,436642400
2023-02-06,84.629997,88.000000,80.470001,81.480003,81.480003,268299200
2023-02-13,81.570000,86.190002,77.370003,78.500000,78.500000,253391700
2023-02-20,77.150002,81.790001,75.919998,78.089996,78.089996,217423700
2023-02-27,79.639999,81.629997,76.650002,81.519997,81.519997,248709500
2023-03-06,82.029999,87.809998,80.669998,82.669998,82.669998,344758900
2023-03-13,81.389999,98.750000,78.519997,97.839996,97.839996,427907600
2023-03-20,96.300003,102.430000,92.900002,97.949997,97.949997,436911800
2023-03-27,98.019997,99.529999,92.870003,98.010002,98.010002,287443600
2023-04-03,96.699997,97.269997,90.620003,92.470001,92.470001,194608900
2023-04-06,91.470001,92.910004,90.620003,92.470001,92.470001,47778378
